date,heure,billets_samedi,new_samedi,billets_dimanche,new_dimanche,total,new_total
2026-05-15,,163,+0,197,+0,360,+0
2026-05-16,,166,+3,197,+0,363,+3
2026-05-17,16:23,170,+4,211,+14,381,+18
2026-05-18,22:54,173,+3,211,+0,384,+3
2026-05-19,23:00,178,+5,214,+3,392,+8
2026-05-20,23:08,180,+2,216,+2,396,+4
2026-05-21,23:03,180,+0,218,+2,398,+2
2026-05-22,22:55,182,+2,221,+3,403,+5
2026-05-23,22:45,184,+2,221,+0,405,+2
2026-05-24,22:45,185,+1,221,+0,406,+1
2026-05-25,22:51,185,+0,221,+0,406,+0
2026-05-26,23:03,185,+0,221,+0,406,+0
2026-05-27,23:09,187,+2,221,+0,408,+2
2026-05-28,23:13,187,+0,222,+1,409,+1
2026-05-29,23:11,187,+0,222,+0,409,+0
2026-05-30,22:45,189,+2,222,+0,411,+2
2026-05-31,22:46,189,+0,222,+0,411,+0
2026-06-01,23:41,189,+0,222,+0,411,+0
2026-06-02,23:30,192,+3,224,+2,416,+5
2026-06-03,23:32,194,+2,224,+0,418,+2
2026-06-04,23:04,197,+3,224,+0,421,+3
2026-06-05,23:01,197,+0,224,+0,421,+0
2026-06-06,22:49,197,+0,224,+0,421,+0
2026-06-07,22:51,197,+0,230,+6,427,+6
2026-06-08,23:13,197,+0,230,+0,427,+0
2026-06-09,23:08,197,+0,230,+0,427,+0
2026-06-10,23:18,200,+3,236,+6,436,+9
2026-06-11,23:16,202,+2,238,+2,440,+4
2026-06-12,23:05,206,+4,242,+4,448,+8
2026-06-13,22:52,211,+5,246,+4,457,+9
2026-06-14,22:52,211,+0,246,+0,457,+0
2026-06-15,23:30,211,+0,246,+0,457,+0
2026-06-16,23:29,211,+0,246,+0,457,+0
2026-06-17,23:13,211,+0,246,+0,457,+0
2026-06-18,23:16,211,+0,246,+0,457,+0
2026-06-19,22:54,211,+0,246,+0,457,+0
2026-06-20,22:53,211,+0,253,+7,464,+7
2026-06-21,22:55,211,+0,253,+0,464,+0
2026-06-22,23:23,211,+0,253,+0,464,+0
2026-06-23,23:06,211,+0,257,+4,468,+4
2026-06-24,23:02,211,+0,257,+0,468,+0
2026-06-25,23:04,211,+0,259,+2,470,+2
2026-06-26,23:01,211,+0,267,+8,478,+8
2026-06-27,22:46,211,+0,267,+0,478,+0
2026-06-28,22:47,211,+0,267,+0,478,+0
2026-06-29,23:02,212,+1,267,+0,479,+1
2026-06-30,23:05,216,+4,267,+0,483,+4
2026-07-01,23:00,216,+0,269,+2,485,+2
2026-07-02,22:47,216,+0,269,+0,485,+0
2026-07-03,22:47,218,+2,269,+0,487,+2
2026-07-04,22:45,220,+2,269,+0,489,+2
2026-07-05,22:46,220,+0,269,+0,489,+0
2026-07-06,23:04,220,+0,269,+0,489,+0
2026-07-07,23:01,220,+0,269,+0,489,+0
2026-07-08,22:48,220,+0,269,+0,489,+0
2026-07-09,23:00,220,+0,278,+9,498,+9
2026-07-10,22:52,220,+0,279,+1,499,+1
2026-07-11,22:44,220,+0,279,+0,499,+0
2026-07-12,22:44,220,+0,279,+0,499,+0
